gid,자치구명,법정동명,등록동물수,교통량,공시지가음수,반려동물_관련시설
11560127,영등포구,양평동3가,526,-4465,-3864511,0
11560128,영등포구,양평동4가,324,-4465,-4545299,0
11560129,영등포구,양평동5가,303,-4465,-4449352,0
11560130,영등포구,양평동6가,240,-4465,-3243770,0
11560131,영등포구,양화동,0,-4465,-469559,0
11560132,영등포구,신길동,5042,-3810,-3702140,19
11560133,영등포구,대림동,2569,-10458,-3479182,6
11560134,영등포구,양평동,0,-4465,-397000,0
11620101,관악구,봉천동,9601,-11901,-2752304,20
11620102,관악구,신림동,14555,-8034,-1574474,37
11620103,관악구,남현동,871,-22611,-766579,3
11650101,서초구,방배동,5359,-10076,-5217925,27
11650102,서초구,양재동,1743,-16010,-4842496,13
11650103,서초구,우면동,1085,-9358,-1859685,2
11650104,서초구,원지동,10,-16010,-205152,0
11650106,서초구,잠원동,2496,-24190,-8235486,7
11650107,서초구,반포동,4175,-18270,-10285153,20
11650108,서초구,서초동,4641,-14686,-10590384,26
11650109,서초구,내곡동,271,-5052,-464108,0
11650110,서초구,염곡동,68,-5052,-911993,0
11650111,서초구,신원동,216,-5052,-394477,2
11740101,강동구,명일동,1534,-5722,-5146760,8
11740102,강동구,고덕동,1299,-25505,-3009236,4
11740103,강동구,상일동,936,-6543,-3329961,3
11740105,강동구,길동,2019,-12288,-3993336,6
11740106,강동구,둔촌동,1524,-9257,-2366818,8
11740107,강동구,암사동,3083,-6205,-1849343,12
11740108,강동구,성내동,2971,-14826,-5293907,21
11740109,강동구,천호동,4101,-13706,-4016160,14
11740110,강동구,강일동,814,-12100,-2309550,2
