gid,sgg_nm_k,sido_nm_k,격자 내 토지이용(건물)의 밀도
다사58b43a,강남구,서울특별시,205.566868
다사48b59b,은평구,서울특별시,205.2476094
다사63a55a,중랑구,서울특별시,204.8492224
다사68b48b,강동구,서울특별시,204.539986
다사54a42b,서초구,서울특별시,204.4939002
다사56a45a,서초구,서울특별시,204.233812
다사53b46b,용산구,서울특별시,204.0143572
다사59a45a,강남구,서울특별시,203.5253296
다사46a47b,영등포구,서울특별시,203.3726491
다사58b56a,성북구,서울특별시,203.2750116
다사39b52a,강서구,서울특별시,203.056836
다사67a42a,송파구,서울특별시,202.86884
다사50a46b,영등포구,서울특별시,202.536124
다사58b55b,성북구,서울특별시,202.008012
다사41b50a,강서구,서울특별시,201.532348
다사43b49b,양천구,서울특별시,201.2518529
다사45b45a,구로구,서울특별시,201.084868
다사46a47a,영등포구,서울특별시,200.9904064
다사44b47a,양천구,서울특별시,200.9790127
다사59b62a,도봉구,서울특별시,200.6920667
다사59a43b,강남구,서울특별시,200.6857371
다사42a51a,강서구,서울특별시,200.5930908
다사57a53b,성북구,서울특별시,200.5790608
다사41b46a,양천구,서울특별시,200.4982349
다사48b55a,은평구,서울특별시,200.3024498
다사45a45a,구로구,서울특별시,200.1365484
다사56b42b,서초구,서울특별시,199.6442752
다사46a44a,구로구,서울특별시,199.2505948
다사47b46b,영등포구,서울특별시,199.1643179
다사58a46b,강남구,서울특별시,198.9957004
다사57a43b,서초구,서울특별시,198.700012
다사68a48b,강동구,서울특별시,198.486494
다사59a53a,동대문구,서울특별시,198.3842168
다사62a61b,노원구,서울특별시,198.3245066
다사59a42b,서초구,서울특별시,198.1965968
다사59a55b,성북구,서울특별시,197.7850392
다사64b46b,송파구,서울특별시,197.7156798
다사49b42b,관악구,서울특별시,197.697638
다사57b44a,서초구,서울특별시,197.127632
다사58b62a,도봉구,서울특별시,196.9459032
다사46a44b,구로구,서울특별시,196.705
다사51b43b,동작구,서울특별시,196.3753267
다사54a43a,서초구,서울특별시,196.1513892
다사59b42a,강남구,서울특별시,195.867494
다사63a46a,송파구,서울특별시,195.855116
다사46a46b,영등포구,서울특별시,195.52402
다사56a48b,용산구,서울특별시,195.4412539
다사64a49a,광진구,서울특별시,195.4271112
다사57b55a,성북구,서울특별시,194.911088
다사59b46b,강남구,서울특별시,194.5747498
다사53a49a,용산구,서울특별시,194.3729268
다사40b52a,강서구,서울특별시,194.1423304
다사62a50a,광진구,서울특별시,193.9071004
다사64b43a,강남구,서울특별시,193.472648
다사56a42a,서초구,서울특별시,193.1808566
다사61b44b,강남구,서울특별시,193.064376
다사61b51b,동대문구,서울특별시,193.0033937
다사42a48a,강서구,서울특별시,192.7538588
다사57a49b,성동구,서울특별시,192.4895304
다사60a47a,강남구,서울특별시,192.1817318
다사39a53a,강서구,서울특별시,191.789954
다사50b43a,관악구,서울특별시,191.6563651
다사54b44a,서초구,서울특별시,191.60928
다사57a52b,종로구,서울특별시,190.7805984
다사47b42a,금천구,서울특별시,190.62365
다사61b59b,노원구,서울특별시,190.3034516
다사49b57a,은평구,서울특별시,190.179896
다사62a53b,동대문구,서울특별시,189.8263531
다사43a45a,구로구,서울특별시,189.740704
다사57b40b,서초구,서울특별시,189.612624
다사61a53a,동대문구,서울특별시,189.527756
다사42a44a,구로구,서울특별시,189.2124724
다사68b50a,강동구,서울특별시,189.16924
다사61b52a,동대문구,서울특별시,188.9520108
다사66b44a,송파구,서울특별시,188.608304
다사60b64b,노원구,서울특별시,188.536352
다사49b43a,관악구,서울특별시,188.4196861
다사44b44b,구로구,서울특별시,188.356772
다사46b46a,영등포구,서울특별시,188.332304
다사59b49b,성동구,서울특별시,188.141988
다사43b45a,구로구,서울특별시,187.7961288
다사61b44a,강남구,서울특별시,186.698176
다사55a42b,서초구,서울특별시,186.599904
다사57b50a,성동구,서울특별시,186.2716848
다사46b47a,영등포구,서울특별시,186.1485032
다사67b48a,강동구,서울특별시,185.828839
다사61a57b,노원구,서울특별시,185.722719
다사46b47b,영등포구,서울특별시,185.549709
다사56b50a,중구,서울특별시,185.4880652
다사52b52a,종로구,서울특별시,185.4386434
다사56a44b,서초구,서울특별시,185.217844
다사47b55b,은평구,서울특별시,185.11174
다사58b51b,성동구,서울특별시,184.959794
다사58a62a,도봉구,서울특별시,184.9597408
다사48a53a,서대문구,서울특별시,184.880164
다사41b43b,구로구,서울특별시,184.7866792
다사56b46a,서초구,서울특별시,184.672452
다사63a48b,광진구,서울특별시,184.29544
다사60b44b,강남구,서울특별시,184.253912
다사55b51a,중구,서울특별시,184.181524
다사57a50b,중구,서울특별시,183.8449437
다사49a57b,은평구,서울특별시,183.5071696
다사50b49b,마포구,서울특별시,183.4605608
다사57b57b,강북구,서울특별시,183.4551092
다사62a48a,광진구,서울특별시,183.331478
다사51b48b,용산구,서울특별시,183.230092
다사57b51b,중구,서울특별시,182.9207176
다사44b46b,양천구,서울특별시,182.834596
다사57b55b,성북구,서울특별시,182.4708136
다사57a49a,성동구,서울특별시,182.3863136
다사51a54a,서대문구,서울특별시,182.3065546
다사49a51a,마포구,서울특별시,182.229552
다사51a42b,관악구,서울특별시,182.1389376
다사41b46b,양천구,서울특별시,181.686218
다사59b63a,도봉구,서울특별시,181.5939588
다사59a47b,강남구,서울특별시,181.2539144
다사48a52b,서대문구,서울특별시,181.160614
다사66a43b,송파구,서울특별시,180.8419237
다사61a56a,성북구,서울특별시,180.8167216
다사50b44b,동작구,서울특별시,180.696996
다사50b42b,관악구,서울특별시,180.6450527
다사63b55b,중랑구,서울특별시,180.5737682
다사51b50b,마포구,서울특별시,180.4544415
다사42a51b,강서구,서울특별시,180.268492
다사44b44a,구로구,서울특별시,179.8459343
다사41b50b,강서구,서울특별시,179.5517181
다사56b51a,중구,서울특별시,179.49806
다사45b47a,영등포구,서울특별시,179.221948
다사47a42a,금천구,서울특별시,179.1332832
다사51b42a,관악구,서울특별시,179.079816
다사47b56a,은평구,서울특별시,179.009231
다사59a43a,강남구,서울특별시,178.8799311
다사71a50a,강동구,서울특별시,178.808776
다사45b44b,구로구,서울특별시,178.7691993
다사51a43a,관악구,서울특별시,178.7289868
다사58a45b,강남구,서울특별시,178.452584
다사67a50a,강동구,서울특별시,178.2625836
다사46b45b,영등포구,서울특별시,177.1832324
다사51b44b,동작구,서울특별시,176.9544552
다사44a50b,강서구,서울특별시,176.8841632
다사39a52b,강서구,서울특별시,176.5585883
다사57b57a,강북구,서울특별시,176.3740952
다사55b44a,서초구,서울특별시,176.2866033
다사66b45b,송파구,서울특별시,176.1805428
다사58a59b,강북구,서울특별시,176.115604
다사43a47a,양천구,서울특별시,175.3233876
다사58b60b,도봉구,서울특별시,175.0841172
다사67b44a,송파구,서울특별시,174.944309
다사60b51b,성동구,서울특별시,174.89684
다사46b48b,영등포구,서울특별시,174.69212
다사57b50b,성동구,서울특별시,174.6126612
다사44a49b,양천구,서울특별시,174.5170469
다사64a57a,중랑구,서울특별시,174.507528
다사58b53a,동대문구,서울특별시,174.4941431
다사50b42a,관악구,서울특별시,174.22034
다사40b50b,강서구,서울특별시,174.1593656
다사49a47b,영등포구,서울특별시,174.12544
다사46a43b,구로구,서울특별시,174.1177596
다사41b47a,양천구,서울특별시,173.9195996
다사55a45a,서초구,서울특별시,173.396104
다사51b42b,관악구,서울특별시,173.3062452
다사52a48a,용산구,서울특별시,173.010212
다사60a49a,성동구,서울특별시,172.9095112
다사49a54b,은평구,서울특별시,172.741316
다사65b44a,송파구,서울특별시,172.582156
다사41b48a,강서구,서울특별시,172.5785116
다사49a55b,은평구,서울특별시,172.2975772
다사59b45b,강남구,서울특별시,172.2104504
다사38a52b,강서구,서울특별시,171.868076
다사64a55a,중랑구,서울특별시,171.680265
다사61a55a,동대문구,서울특별시,171.667244
다사50a56a,은평구,서울특별시,171.6455504
다사53b43b,동작구,서울특별시,171.5990902
다사57a56a,성북구,서울특별시,171.417236
다사68a49b,강동구,서울특별시,171.232568
다사67a44a,송파구,서울특별시,171.2059424
다사56b45a,서초구,서울특별시,171.1076724
다사44b48a,양천구,서울특별시,170.905544
다사57b43b,서초구,서울특별시,170.8054536
다사47b43a,동작구,서울특별시,170.6327488
다사55b44b,서초구,서울특별시,170.4048202
다사63b46a,송파구,서울특별시,170.027332
다사49a43a,관악구,서울특별시,169.937644
다사69a50a,강동구,서울특별시,169.9186235
다사67a43b,송파구,서울특별시,169.702505
다사57a50a,성동구,서울특별시,169.5217709
다사55a44a,서초구,서울특별시,169.4212204
다사58a47b,강남구,서울특별시,169.374988
다사62b58b,노원구,서울특별시,169.3403072
다사51b43a,관악구,서울특별시,169.289948
다사48b47a,영등포구,서울특별시,169.2361
다사60a65a,도봉구,서울특별시,169.0657884
다사68a49a,강동구,서울특별시,169.0652756
다사59b51a,성동구,서울특별시,168.892642
다사45a41b,금천구,서울특별시,168.837084
다사58a43a,서초구,서울특별시,168.7251756
다사57a46b,서초구,서울특별시,168.677492
다사45b43a,구로구,서울특별시,168.530698
다사66b48b,강동구,서울특별시,168.147586
다사57a51a,중구,서울특별시,168.062244
다사58a56a,성북구,서울특별시,167.6648644
다사46a41a,금천구,서울특별시,167.528372
다사44a49a,양천구,서울특별시,167.2678028
다사43b46a,양천구,서울특별시,167.199628
다사51a43b,관악구,서울특별시,167.005844
다사44a48b,양천구,서울특별시,166.8516079
다사52b48b,용산구,서울특별시,166.7169924
다사48a44a,동작구,서울특별시,166.7140318
다사48b60a,은평구,서울특별시,166.6135656
다사49b50b,마포구,서울특별시,166.3974577
다사60a55a,동대문구,서울특별시,166.374142
다사68a48a,강동구,서울특별시,166.309744
다사57b49b,성동구,서울특별시,166.21486
다사48b53b,서대문구,서울특별시,166.1173294
다사66b41b,송파구,서울특별시,166.095672
다사48b57b,은평구,서울특별시,165.8986384
다사69a51a,강동구,서울특별시,165.814284
다사61b48a,광진구,서울특별시,165.3763
다사60b63a,노원구,서울특별시,165.2117024
다사57a54b,성북구,서울특별시,165.089784
다사65a47b,송파구,서울특별시,165.065228
다사53b43a,동작구,서울특별시,164.9329413
다사54a44a,동작구,서울특별시,164.8882828
다사63b53a,중랑구,서울특별시,164.6968175
다사54b43b,서초구,서울특별시,164.6365922
다사68a50a,강동구,서울특별시,164.367322
다사41b42b,구로구,서울특별시,164.122776
다사57b59b,강북구,서울특별시,163.8150686
다사59a60a,도봉구,서울특별시,163.721618
다사43a44a,구로구,서울특별시,163.5406694
다사57b47a,강남구,서울특별시,163.36672
다사49a49b,마포구,서울특별시,163.1575916
다사60a62a,도봉구,서울특별시,163.1455163
다사67a48a,강동구,서울특별시,163.1372676
다사58b47b,강남구,서울특별시,162.9834744
다사65a45a,송파구,서울특별시,162.875338
다사61a51b,동대문구,서울특별시,162.828506
다사57a45b,서초구,서울특별시,162.33276
다사61a49a,성동구,서울특별시,162.187424
다사60b52b,동대문구,서울특별시,162.165812
다사63a42b,강남구,서울특별시,162.1160416
다사42a47a,양천구,서울특별시,161.5514928
다사47a51b,마포구,서울특별시,161.397422
다사67b49b,강동구,서울특별시,161.344856
다사68b43b,송파구,서울특별시,161.339948
다사41b49a,강서구,서울특별시,161.2388896
다사43b50a,강서구,서울특별시,160.9920814
다사46b38b,금천구,서울특별시,160.8159448
다사39b52b,강서구,서울특별시,160.7535714
다사51a42a,관악구,서울특별시,160.627588
다사68b48a,강동구,서울특별시,160.5764272
다사49b49b,마포구,서울특별시,160.4001152
다사62b58a,노원구,서울특별시,160.3733
다사65b45a,송파구,서울특별시,160.3015844
다사57a55a,성북구,서울특별시,160.127484
다사59a56a,성북구,서울특별시,160.1007148
다사63a58a,노원구,서울특별시,159.85239
다사60a46b,강남구,서울특별시,159.684304
다사48a39a,금천구,서울특별시,159.598151
다사42a49b,강서구,서울특별시,159.484964
다사58b47a,강남구,서울특별시,159.4537764
다사41b49b,강서구,서울특별시,159.38116
다사49b56b,은평구,서울특별시,159.304144
다사46a42a,금천구,서울특별시,159.2297162
다사61b49a,광진구,서울특별시,159.196396
다사50b50a,마포구,서울특별시,159.145568
다사55a43a,서초구,서울특별시,159.0917259
다사66b48a,강동구,서울특별시,158.789368
다사47b43b,동작구,서울특별시,158.584394
다사60b54b,동대문구,서울특별시,158.1403508
다사47b47b,영등포구,서울특별시,158.0498187
다사58a46a,강남구,서울특별시,157.9722594
다사67a49b,강동구,서울특별시,157.929336
다사57a46a,서초구,서울특별시,157.9097616
다사58b45a,강남구,서울특별시,157.9020228
다사41b47b,강서구,서울특별시,157.6864956
다사67b41b,송파구,서울특별시,157.568956
다사67a45b,송파구,서울특별시,157.3115336
다사60a43b,강남구,서울특별시,157.2749727
다사67b47b,강동구,서울특별시,157.23816
다사62a60b,노원구,서울특별시,157.2014792
다사50a49b,마포구,서울특별시,157.143708
다사68b49a,강동구,서울특별시,157.0377012
다사61a43b,강남구,서울특별시,156.92626
다사60b64a,노원구,서울특별시,156.6716508
다사52a42b,관악구,서울특별시,156.3324464
다사67a47b,강동구,서울특별시,156.289866
다사51a51a,서대문구,서울특별시,156.2547715
다사48a55b,은평구,서울특별시,156.181342
다사59a60b,도봉구,서울특별시,156.0853
다사60a53b,동대문구,서울특별시,156.035172
다사47a45a,영등포구,서울특별시,156.01162
다사61b62b,노원구,서울특별시,155.833124
다사53b50a,용산구,서울특별시,155.794908
다사66b47b,강동구,서울특별시,155.672244
다사57a45a,서초구,서울특별시,155.4027864
다사57b60b,강북구,서울특별시,155.3463544
다사64a44b,송파구,서울특별시,154.9584388
다사52a50a,마포구,서울특별시,154.8844072
다사51a51b,서대문구,서울특별시,154.641856
다사54b53a,종로구,서울특별시,154.3501992
다사47a51a,마포구,서울특별시,154.234172
다사61b62a,노원구,서울특별시,153.693922
다사52b45a,동작구,서울특별시,153.378386
다사58b57a,강북구,서울특별시,153.375678
다사59b41b,서초구,서울특별시,153.288312
다사62a62a,노원구,서울특별시,153.2655491
다사53a47b,용산구,서울특별시,153.253748
다사66b44b,송파구,서울특별시,153.2231864
다사58a61a,도봉구,서울특별시,153.1721684
다사54b51a,중구,서울특별시,153.044854
다사63a45a,송파구,서울특별시,152.9411864
다사66a45b,송파구,서울특별시,152.8754128
다사66a42a,송파구,서울특별시,152.836732
다사43b47b,양천구,서울특별시,152.5890448
다사47a47a,영등포구,서울특별시,152.547904
다사47b52a,마포구,서울특별시,152.5270164
다사51a45a,동작구,서울특별시,152.4859853
다사50a41a,관악구,서울특별시,152.347956
다사53a42a,동작구,서울특별시,152.2699839
다사46a45b,구로구,서울특별시,152.256698
다사67a45a,송파구,서울특별시,152.2245876
다사53a46b,용산구,서울특별시,152.212616
다사60b52a,동대문구,서울특별시,151.8805884
다사58b53b,동대문구,서울특별시,151.833878
다사62a61a,노원구,서울특별시,151.6326796
다사42a49a,강서구,서울특별시,151.565548
다사48b50a,마포구,서울특별시,151.364684
다사58b60a,강북구,서울특별시,151.2077252
다사48b56b,은평구,서울특별시,151.042
다사49b50a,마포구,서울특별시,151.0146881
다사52a43b,관악구,서울특별시,150.933692
다사64a55b,중랑구,서울특별시,150.6059552
다사43b44b,구로구,서울특별시,150.6039216
다사44b49b,양천구,서울특별시,150.4849484
다사59b47b,강남구,서울특별시,150.431772
다사59a62a,도봉구,서울특별시,150.4052172
다사52b41b,관악구,서울특별시,150.322484
다사60a61a,도봉구,서울특별시,150.203084
다사56a53a,종로구,서울특별시,150.121688
다사50b45b,동작구,서울특별시,149.8651352
다사49b44b,동작구,서울특별시,149.6712672
다사61a44b,강남구,서울특별시,149.667408
다사61a61a,노원구,서울특별시,149.419964
다사52a52a,서대문구,서울특별시,149.1093144
다사51a44a,동작구,서울특별시,149.0254027
다사66a44b,송파구,서울특별시,148.6396724
다사57b60a,강북구,서울특별시,148.5825948
다사63b58b,노원구,서울특별시,148.5307184
다사48b58a,은평구,서울특별시,148.520452
다사48b56a,은평구,서울특별시,148.48864
다사41a48a,양천구,서울특별시,148.3570432
다사56b57a,성북구,서울특별시,148.212144
다사62a58b,노원구,서울특별시,148.2061414
다사48b46a,영등포구,서울특별시,148.076586
다사43b45b,양천구,서울특별시,148.07166
다사47b44a,영등포구,서울특별시,147.869328
다사66a47b,송파구,서울특별시,147.7921188
다사62a53a,동대문구,서울특별시,147.7901336
다사61a62a,노원구,서울특별시,147.6741952
다사47b42b,관악구,서울특별시,147.5787128
다사63b49b,광진구,서울특별시,147.5748104
