emd_code,ALL_AADT,,법정동,행정구역분류,법정기관코드,교통량
1110052,9651,,주자동,1102057,11140141,975 
1110053,8571,,예장동,1102057,11140142,975 
1110054,5909,,장충동2가,1102057,11140144,975 
1110055,8396,,충무로3가,1102057,11140158,975 
1110056,6643,,묵정동,1102058,11140136,5365 
1110057,6136,,장충동1가,1102058,11140143,5365 
1110059,9364,,장충동2가,1102058,11140144,5365 
1110060,9140,,충무로4가,1102059,11140132,1222 
1110061,8154,,충무로5가,1102059,11140133,1222 
1110062,8809,,인현동2가,1102059,11140134,1222 
1110063,9525,,예관동,1102059,11140135,1222 
1110064,10179,,광희동1가,1102059,11140145,1222 
1110065,6320,,광희동2가,1102059,11140146,1222 
1111051,4233,,쌍림동,1102059,11140147,1222 
1111052,6093,,을지로6가,1102059,11140148,1222 
1111053,19317,,을지로7가,1102059,11140149,1222 
1111056,11682,,오장동,1102059,11140154,1222 
1111058,7554,,을지로4가,1102060,11140150,1185 
1111059,17503,,을지로5가,1102060,11140151,1185 
1111060,5235,,주교동,1102060,11140152,1185 
1111061,4738,,방산동,1102060,11140153,1185 
1111064,5280,,을지로3가,1102060,11140155,1185 
1111065,21148,,입정동,1102060,11140156,1185 
1111066,8482,,산림동,1102060,11140157,1185 
1111069,5198,,초동,1102060,11140159,1185 
1111072,16028,,인현동1가,1102060,11140160,1185 
1111073,8352,,저동2가,1102060,11140161,1185 
1111074,15856,,신당동,1102061,11140162,3948 
1111076,10347,,흥인동,1102061,11140163,3948 
1111077,14590,,무학동,1102061,11140164,3948 
1111078,8032,,신당동,1102062,11140162,11845 
1111079,14101,,신당동,1102063,11140162,11845 
1112051,8577,,신당동,1102064,11140162,11845 
1112052,9895,,신당동,1102065,11140162,11771 
1112055,7852,,신당동,1102066,11140162,11771 
1112056,8129,,황학동,1102067,11140165,8771 
1112057,4420,,중림동,1102068,11140171,2407 
1112058,9183,,의주로2가,1102068,11140172,2407 
1112059,9185,,만리동1가,1102068,11140173,2407 
1112060,4503,,만리동2가,1102068,11140174,2407 
1112065,6344,,후암동,1103051,11170101,9225 
1112066,6101,,용산동2가,1103052,11170102,8941 
1112067,12925,,용산동4가,1103052,11170103,8941 
1112068,12791,,갈월동,1103053,11170104,3741 
1112071,6069,,남영동,1103053,11170105,3741 
1112072,7626,,용산동1가,1103053,11170106,3741 
1112073,5487,,동자동,1103053,11170107,3741 
1112074,8336,,신창동,1103057,11170114,3216 
1113052,7792,,산천동,1103057,11170115,3216 
1113062,8767,,청암동,1103057,11170116,3216 
1113064,18449,,원효로3가,1103057,11170117,3216 
1113065,13672,,원효로4가,1103057,11170118,3216 
1113066,7382,,효창동,1103058,11170119,7780 
1113068,18539,,도원동,1103059,11170120,2340 
1113069,9332,,용문동,1103059,11170121,2340 
1113070,5769,,이촌동,1103063,11170129,20849 
1113071,8711,,이촌동,1103064,11170129,43841 
1113072,6306,,이태원동,1103065,11170130,8394 
1113073,8578,,이태원동,1103066,11170130,12280 
1113074,7175,,동빙고동,1103069,11170132,5967 
1113075,15555,,서빙고동,1103069,11170133,5967 
1113076,18280,,주성동,1103069,11170134,5967 
1114059,15697,,용산동6가,1103069,11170135,5967 
1114060,10416,,보광동,1103070,11170136,18945 
1114061,7954,,서계동,1103071,11170108,2131 
1114063,14545,,청파동1가,1103071,11170109,2131 
1114066,10548,,청파동2가,1103071,11170110,2131 
1114068,24065,,청파동3가,1103071,11170111,2131 
1114069,27196,,원효로1가,1103072,11170112,2411 
1114070,20943,,원효로2가,1103072,11170113,2411 
1114071,6902,,문배동,1103072,11170122,2411 
1114072,25033,,신계동,1103072,11170123,2411 
1114073,17453,,한강로1가,1103073,11170124,2323 
1114074,16553,,한강로2가,1103073,11170125,2323 
1114075,7978,,용산동3가,1103073,11170126,2323 
