gid,val,EMD_NM,자치구?,등록수,교통량,동물병?,위탁업?,판매업?,놀이터_
"11170108",5894699.7099999999627470970153808593750,서계동,용산구,"315","2131",1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000
"11170109",4640010.0700000002980232238769531250000,청파동1가,용산구,"428","2131",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
"11170110",4772994.0400000000372529029846191406250,청파동2가,용산구,"132","2131",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
"11170111",5715246.8899999996647238731384277343750,청파동3가,용산구,"164","2131",1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000
"11170112",7213442.3499999996274709701538085937500,원효로1가,용산구,"389","2411",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
"11170113",6563019.1299999998882412910461425781250,원효로2가,용산구,"126","2411",0.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000
"11170114",4565095.1600000001490116119384765625000,신창동,용산구,"133","3216",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
"11170115",6471576.4100000001490116119384765625000,산천동,용산구,"488","3216",0.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000
"11170116",4035597.1699999999254941940307617187500,청암동,용산구,"131","3216",1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
"11170117",6901136.9900000002235174179077148437500,원효로3가,용산구,"139","3216",1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
"11170118",4134035.6200000001117587089538574218750,원효로4가,용산구,"222","3216",2.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000
"11170119",4431300.0199999995529651641845703125000,효창동,용산구,"590","7780",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
"11170120",7661842.3399999998509883880615234375000,도원동,용산구,"324","2340",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
"11170121",5763964.2999999998137354850769042968750,용문동,용산구,"315","2340",2.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
"11170122",8637261.1999999992549419403076171875000,문배동,용산구,"353","2411",0.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000
"11170123",6434962.4599999999627470970153808593750,신계동,용산구,"160","2411",2.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000
"11170124",8116334.0499999998137354850769042968750,한강로1가,용산구,"239","2323",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
"11170125",13176619.4000000003725290298461914062500,한강로2가,용산구,"506","2323",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
"11170126",3438514.3100000000558793544769287109375,용산동3가,용산구,"11","2323",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
"11170127",4235716.1299999998882412910461425781250,용산동5가,용산구,"191","2323",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
"11170128",11277002.4600000008940696716308593750000,한강로3가,용산구,"562","2323",2.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000
"11170129",2703654.9300000001676380634307861328125,이촌동,용산구,"2289","43841",5.000000000000000,5.000000000000000,0.000000000000000,0.000000000000000
"11170130",7074899.2199999997392296791076660156250,이태원동,용산구,"2262","12280",1.000000000000000,5.000000000000000,0.000000000000000,0.000000000000000
"11170131",5393464.5800000000745058059692382812500,한남동,용산구,"2292","27782",4.000000000000000,4.000000000000000,0.000000000000000,0.000000000000000
"11170132",6577584.2400000002235174179077148437500,동빙고동,용산구,"450","5967",1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
"11170133",3267059.1699999999254941940307617187500,서빙고동,용산구,"387","5967",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
"11170134",1987003.7199999999720603227615356445313,주성동,용산구,"75","5967",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
"11170135",2099902.0099999997764825820922851562500,용산동6가,,,"5967",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
"11170136",5509550.1699999999254941940307617187500,보광동,용산구,"1358","18945",3.000000000000000,1.000000000000000,1.000000000000000,0.000000000000000
