gid,자치구명,법정동명,등록동물수,공시지가,교통량,반려동물_관련시설
11560128,영등포구,양평동4가,324,4545299.41,4465,0
11560129,영등포구,양평동5가,303,4449351.55,4465,0
11560130,영등포구,양평동6가,240,3243769.58,4465,0
11560131,영등포구,양화동,0,469558.83,4465,0
11560132,영등포구,신길동,5042,3702140.47,3810,19
11560133,영등포구,대림동,2569,3479181.85,10458,6
11560134,영등포구,양평동,0,397000,4465,0
11590101,동작구,노량진동,1266,4905636.54,10605,2
11590102,동작구,상도동,5090,3596724.64,7711,14
11590103,동작구,상도1동,435,3848814.38,5960,2
11590104,동작구,본동,488,2334319.75,10605,0
11590105,동작구,흑석동,1423,4315806.61,34272,3
11590106,동작구,동작동,290,902242.24,13576,2
11590107,동작구,사당동,4424,3738631,13576,10
11590108,동작구,대방동,1729,3936952.26,8160,1
11590109,동작구,신대방동,1996,3618832.39,4720,5
11620101,관악구,봉천동,9601,2752304.31,11901,20
11620102,관악구,신림동,14555,1574473.58,8034,37
11620103,관악구,남현동,871,766578.53,22611,3
11650101,서초구,방배동,5359,5217925,10076,27
11650102,서초구,양재동,1743,4842495.74,16010,13
11650103,서초구,우면동,1085,1859685.31,9358,2
11650104,서초구,원지동,10,205152.22,16010,0
11650106,서초구,잠원동,2496,8235485.76,24190,7
11650107,서초구,반포동,4175,10285153.22,18270,20
11650108,서초구,서초동,4641,10590384.44,14686,26
11650109,서초구,내곡동,271,464108.08,5052,0
11650110,서초구,염곡동,68,911993.1,5052,0
11650111,서초구,신원동,216,394476.59,5052,2
11680101,강남구,역삼동,5096,14980384.84,14112,35
11680103,강남구,개포동,3189,5922772.1,7083,8
11680104,강남구,청담동,2005,11272768.03,23080,11
11680105,강남구,삼성동,2902,14872586.62,8189,22
11680106,강남구,대치동,4209,12343717.1,19604,12
11680107,강남구,신사동,874,14616377.53,7318,17
11680108,강남구,논현동,3890,10934924.11,12495,36
11680110,강남구,압구정동,1884,12869235.29,7318,2
11680111,강남구,세곡동,641,1419262.65,3985,4
11680112,강남구,자곡동,898,1679355.15,3985,2
11680113,강남구,율현동,159,814971.22,3985,2
11680114,강남구,일원동,1755,4503931.94,7083,6
11680115,강남구,수서동,992,2529735.43,16782,2
11680118,강남구,도곡동,2877,10838044.97,10497,17
11710101,송파구,잠실동,5255,8257975.54,14092,19
11710102,송파구,신천동,1680,5579734.9,20877,4
11710103,송파구,풍납동,1701,2841457.36,18405,7
11710104,송파구,송파동,2152,6715953.24,15294,13
11710105,송파구,석촌동,1862,6102858.42,6484,7
11710106,송파구,삼전동,1887,5122688.13,10507,14
11710107,송파구,가락동,3195,6884533.16,6323,11
11710108,송파구,문정동,3233,6074418.46,9303,14
11710109,송파구,장지동,1551,4212248.18,9303,10
11710111,송파구,방이동,3056,4890055.25,13805,13
11710112,송파구,오금동,1657,5071755.67,6468,12
11710113,송파구,거여동,1531,4283952.13,3113,11
11710114,송파구,마천동,1728,2956764.53,5854,4
11740101,강동구,명일동,1534,5146759.51,5722,8
11740102,강동구,고덕동,1299,3009235.86,25505,4
11740103,강동구,상일동,936,3329961.01,6543,3
11740105,강동구,길동,2019,3993336.4,12288,6
11740106,강동구,둔촌동,1524,2366817.84,9257,8
11740107,강동구,암사동,3083,1849342.53,6205,12
11740108,강동구,성내동,2971,5293907.29,14826,21
11740109,강동구,천호동,4101,4016160.27,13706,14
11740110,강동구,강일동,814,2309550.16,12100,2
